"filename", "language", "PHP", "JavaScript", "CSS", "JSON", "Shell Script", "PowerShell", "Markdown", "XML", "YAML", "SQL", "comment", "blank", "total"
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\svg_tiger.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 33
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\svg_tree.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 33
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\ticket.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 33
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\utf8.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 34
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 1, 27
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\CssConverter.php", "PHP", 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 44, 406
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Debug\Debug.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 21, 144
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Debug\DebugInterface.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 5, 41
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Exception\ExceptionFormatter.php", "PHP", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 18, 153
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Exception\Html2PdfException.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 4, 38
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Exception\HtmlParsingException.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 11, 82
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Exception\ImageException.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 7, 56
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Exception\LocaleException.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 7, 55
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Exception\LongSentenceException.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 15, 116
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Exception\TableException.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 26
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Extension\AbstractExtension.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 6, 45
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Extension\Core\HtmlExtension.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 4, 58
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Extension\Core\SvgExtension.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 6, 63
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Extension\ExtensionInterface.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 3, 31
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Html2Pdf.php", "PHP", 4165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1373, 902, 6440
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Locale.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 17, 117
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\MyPdf.php", "PHP", 904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 486, 156, 1546
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Parsing\Css.php", "PHP", 1249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 294, 211, 1754
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Parsing\Html.php", "PHP", 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 66, 474
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Parsing\HtmlLexer.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 9, 82
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Parsing\Node.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 20, 181
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Parsing\TagParser.php", "PHP", 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 28, 228
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Parsing\TextParser.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 4, 50
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Parsing\Token.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 8, 72
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\SvgDrawer.php", "PHP", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 51, 288
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Tag\AbstractHtmlTag.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 6, 63
